label,r,lag,alpha,S2_direct,S2_sd,sum_sd_weights,sqrt_direct,sqrt_sd
cube320_t0041,32,2,+,0.24925458262291494,0.2475984581746095,0.998094880319135,0.49925402614592396,0.4975926629027095
cube320_t0041,48,2,+,0.2921552356291095,0.29089861297924174,1.0006464023965937,0.5405138625688609,0.5393501765821921
cube320_t0041,64,2,+,0.3160920792022777,0.3179948314242387,1.0019335887611742,0.5622206677117783,0.5639103044139544
cube320_t0041,80,2,+,0.3286696253419369,0.33137957960119624,1.0028302864440979,0.5732971527418717,0.5756557822181553
cube320_t0041,96,2,+,0.34463752060157343,0.3487680044978793,1.0045234449760987,0.5870583621766864,0.5905658341775956
cube320_t0041,128,2,+,0.3810862998838026,0.3894209543930491,1.0085524725613415,0.6173218770494066,0.6240360201086546
cube320_t0041,160,2,+,0.4324521855175072,0.43008732932323424,0.9982161443494558,0.6576109682156367,0.6558104370343875
cube320_t0041,192,2,+,0.4876658419334924,0.4919736160128981,1.0035534391534615,0.6983307539651196,0.7014083090560719
cube320_t0041,32,2,+-,0.2232507162916487,0.22154660888122202,0.998094880319135,0.4724941441876806,0.47068737913951125
cube320_t0041,48,2,+-,0.26801733855394344,0.26730277315285134,1.0006464023965937,0.5177039101203925,0.5170133200922886
cube320_t0041,64,2,+-,0.30034762784741115,0.3022263019523854,1.0019335887611742,0.5480398049844657,0.5497511272861434
cube320_t0041,80,2,+-,0.32815653630603886,0.33096730125291657,1.0028302864440979,0.5728494883527774,0.5752975762619869
cube320_t0041,96,2,+-,0.3535091918326731,0.3580871847153838,1.0045234449760987,0.594566389760364,0.598403864221634
cube320_t0041,128,2,+-,0.4024566725768421,0.4119668964297347,1.0085524725613415,0.6343947293104208,0.6418464741896887
cube320_t0041,160,2,+-,0.4558373299996351,0.4536113313489878,0.9982161443494558,0.675157263161432,0.6735067418734484
cube320_t0041,192,2,+-,0.480462051203401,0.4849859015675218,1.0035534391534615,0.6931536995525603,0.696409291701024
cube320_t0041,32,2,-,0.30611326422824814,0.3039275692457712,0.998094880319135,0.5532750348861298,0.5512962626807579
cube320_t0041,48,2,-,0.3817955612772436,0.38248321340388564,1.0006464023965937,0.617896076437813,0.6184522725351453
cube320_t0041,64,2,-,0.4480976302400763,0.4503130248474268,1.0019335887611742,0.6694009487893458,0.6710536676357762
cube320_t0041,80,2,-,0.5077241287439267,0.5112861430098345,1.0028302864440979,0.7125476326140777,0.7150427560711559
cube320_t0041,96,2,-,0.5569056335556004,0.5631285060847189,1.0045234449760987,0.7462611028022299,0.7504188870788894
cube320_t0041,128,2,-,0.6493877316671284,0.662430559576071,1.0085524725613415,0.8058459726691748,0.8138983717738173
cube320_t0041,160,2,-,0.7204740694684313,0.7180178698880285,0.9982161443494558,0.8488074395694416,0.8473593510949345
cube320_t0041,192,2,-,0.7160061579646366,0.7219165924773635,1.0035534391534615,0.8461714707815648,0.8496567497980366
cube320_t0041,32,4,+,0.24944163115320475,0.2455359194154948,0.9964716112532055,0.49944131902877714,0.49551581146871065
cube320_t0041,48,4,+,0.2906687598882217,0.2877711503667578,0.9983909090909016,0.5391370511180081,0.5364430541695528
cube320_t0041,64,4,+,0.3156361194743752,0.31652387775743085,1.0008502710027076,0.5618150224712536,0.5626045482907429
cube320_t0041,80,4,+,0.3279486753328156,0.32524749508984074,0.9972222222222097,0.5726680323999372,0.5703047387930779
cube320_t0041,96,4,+,0.3471837723543855,0.34718377235438613,1.0000000000000022,0.5892230242907905,0.5892230242907911
cube320_t0041,128,4,+,0.37966466779588687,0.3840331848337131,1.004463261648736,0.6161693499322137,0.6197041107122924
cube320_t0041,160,4,+,0.4363161668359501,0.4363161668359552,1.0000000000000135,0.6605423278155231,0.660542327815527
cube320_t0041,192,4,+,0.4863297823210766,0.5153212861446402,1.0257404040404126,0.6973734883984883,0.7178588204825794
cube320_t0041,32,4,+-,0.22342841152736628,0.21917279360628691,0.9964716112532055,0.47268214640217404,0.46815894053866675
cube320_t0041,48,4,+-,0.26723795396655853,0.2649900815993143,0.9983909090909016,0.5169506301055823,0.5147718733568437
cube320_t0041,64,4,+-,0.3012868762829369,0.30214440332428316,1.0008502710027076,0.5488960523477436,0.5496766352359205
cube320_t0041,80,4,+-,0.3262915915394516,0.3234462726588368,0.9972222222222097,0.5712193900240533,0.5687233709448177
cube320_t0041,96,4,+-,0.35335416312605555,0.3533541631260562,1.0000000000000022,0.5944360042309479,0.5944360042309484
cube320_t0041,128,4,+-,0.40142733954496623,0.4065086257183559,1.004463261648736,0.6335829381738165,0.6375802896250446
cube320_t0041,160,4,+-,0.455528523645581,0.4555285236455861,1.0000000000000135,0.6749285322503272,0.674928532250331
cube320_t0041,192,4,+-,0.4775623447565318,0.5095737935683206,1.0257404040404126,0.6910588576644769,0.7138443762952262
cube320_t0041,32,4,-,0.3077099045392483,0.30235826665244,0.9964716112532055,0.5547160575819383,0.5498711364060128
cube320_t0041,48,4,-,0.3804403652487603,0.3793598643742931,0.9983909090909016,0.6167984802581474,0.6159219628932655
cube320_t0041,64,4,-,0.45136562530855023,0.4524300797550246,1.0008502710027076,0.6718374991830616,0.6726292290370859
cube320_t0041,80,4,-,0.5068115189589227,0.5031874507984352,0.9972222222222097,0.7119069594820118,0.7093570686180798
cube320_t0041,96,4,-,0.5516636046783235,0.5516636046783245,1.0000000000000022,0.7427406038977024,0.742740603897703
cube320_t0041,128,4,-,0.6461043651655539,0.653466829825731,1.004463261648736,0.8038061738787242,0.8083729521858899
cube320_t0041,160,4,-,0.7155377400460887,0.7155377400460969,1.0000000000000135,0.8458946388564528,0.8458946388564577
cube320_t0041,192,4,-,0.7117923032898259,0.7555785532516368,1.0257404040404126,0.8436778433085853,0.8692402160804784
cube320_t0045,32,1,+,0.29860709794085194,0.30045169195404026,1.0017768518518106,0.5464495383298004,0.5481347388681366
cube320_t0045,48,1,+,0.37800510661317865,0.3780051066131908,1.0000000000000393,0.6148211988970278,0.6148211988970377
cube320_t0045,64,1,+,0.44752808659691606,0.4473189636287954,0.9998825378787467,0.6689754005917677,0.6688190813880802
cube320_t0045,80,1,+,0.5051488883231392,0.5086592873427878,1.0026027027026616,0.710738269915965,0.7132035385097215
cube320_t0045,96,1,+,0.5764225879314012,0.5933053197686347,1.0118382859603925,0.7592249916404236,0.7702631496888804
cube320_t0045,128,1,+,0.6680070654355083,0.6650257611591291,0.9980894444443935,0.8173169920144253,0.8154911165421296
cube320_t0045,160,1,+,0.739474571468394,0.7394745714683767,0.9999999999999734,0.8599270733430795,0.8599270733430694
cube320_t0045,192,1,+,0.8154965049265944,0.8131618665166969,0.9963009057970605,0.9030484510404713,0.9017548816151187
cube320_t0045,32,1,+-,0.21784388305703026,0.21923691091716957,1.0017768518518106,0.4667374883776,0.4682274136754165
cube320_t0045,48,1,+-,0.2685184923400097,0.26851849234001807,1.0000000000000393,0.5181876999119235,0.5181876999119316
cube320_t0045,64,1,+-,0.31115374495419057,0.3110156894863097,0.9998825378787467,0.5578115676052179,0.5576878064708871
cube320_t0045,80,1,+-,0.3519685084052486,0.3544965093798117,1.0026027027026616,0.5932693388379755,0.5953960945285178
