label,r,lag,state,count,A_p,A_m,A_pm
cube320_t0022,192,1,HS,7174.0,1.3107669296414581,2.007826793008207,1.4569562019620372
cube320_t0022,32,2,B,81000.0,0.19368199355336876,0.28437718716228366,0.18301469678796126
cube320_t0022,32,2,HL,1976.0,0.7952237436515753,1.0129859319396792,0.774569257498794
cube320_t0022,32,2,HS,7024.0,0.9544967142593519,1.0937449601335492,0.8856696660290208
cube320_t0022,48,2,B,81000.0,0.2548605914071323,0.38877582837312274,0.24916205151710177
cube320_t0022,48,2,HL,2144.0,0.9558670415012241,1.2271440144933026,0.9509592393496257
cube320_t0022,48,2,HS,6856.0,1.1123772752783232,1.3386779937525954,1.0767139163826813
cube320_t0022,64,2,B,81000.0,0.30352887757632324,0.48087251115367835,0.30321320721630657
cube320_t0022,64,2,HL,2514.0,1.1165674767406442,1.3707873869587663,1.0978479723392676
cube320_t0022,64,2,HS,6486.0,1.250418264641981,1.5160266864775593,1.218781403400671
cube320_t0022,80,2,B,81000.0,0.33558890837548583,0.5577978945995951,0.3425610584822823
cube320_t0022,80,2,HL,2738.0,1.1896863602265735,1.515977631492866,1.2004014813666386
cube320_t0022,80,2,HS,6262.0,1.2969223959785956,1.6373169192840364,1.30085975672323
cube320_t0022,96,2,B,81000.0,0.37491586445444347,0.638830814756423,0.38829266253628203
cube320_t0022,96,2,HL,3008.0,1.3243452647103031,1.6031298622902728,1.3127149653495036
cube320_t0022,96,2,HS,5992.0,1.4057336796856685,1.782928923171015,1.4204276894997216
cube320_t0022,128,2,B,81000.0,0.4364694392344637,0.7852558600612448,0.4574722247743075
cube320_t0022,128,2,HL,3470.0,1.520860592995097,1.6089486417122536,1.4047534786415357
cube320_t0022,128,2,HS,5530.0,1.3405581476294273,1.9037133450225587,1.4299576038199537
cube320_t0022,160,2,B,81000.0,0.5063135380976139,0.9201551117733039,0.5138297414273142
cube320_t0022,160,2,HL,3398.0,1.5729589991590447,1.643078194623984,1.418471388858239
cube320_t0022,160,2,HS,5602.0,1.2765956120364208,2.0604547437107867,1.4725825360697762
cube320_t0022,192,2,B,81000.0,0.6193935484997541,0.9143575480221408,0.5381447293625571
cube320_t0022,192,2,HL,3652.0,1.7148882472682005,1.5204967186750666,1.419701519857899
cube320_t0022,192,2,HS,5348.0,1.3139289573831605,2.0111577048913163,1.460312701330721
cube320_t0022,32,4,B,27000.0,0.19644980194870346,0.28758347997393663,0.18494152496512165
