label,r,lag,start_index,state,count,sum_S2p,sum_S2m,sum_S2pm
cube320_t0022,192,2,1,HL,1228.0,2073.2933533003647,1882.6245305080859,1728.4394288052213
cube320_t0022,192,1,2,B,27000.0,16560.93385904911,24453.448496967747,14404.534851919274
cube320_t0022,192,1,2,HS,1792.0,2338.4114348041467,3666.463417400772,2655.6383186109774
cube320_t0022,192,1,2,HL,1208.0,2087.2159298016727,1777.7182182997979,1710.2991181236098
cube320_t0022,192,2,2,B,27000.0,16560.93385904911,24453.448496967747,14404.534851919274
cube320_t0022,192,2,2,HS,1792.0,2338.4114348041467,3666.463417400772,2655.6383186109774
cube320_t0022,192,2,2,HL,1208.0,2087.2159298016727,1777.7182182997979,1710.2991181236098
cube320_t0022,192,1,3,B,27000.0,17020.506800994146,24829.3577491487,14668.634935730297
cube320_t0022,192,1,3,HS,1826.0,2376.5498891626776,3648.4780072821177,2642.4514661589583
cube320_t0022,192,1,3,HL,1174.0,1990.3916443228143,1856.9094585825405,1680.7523891518663
cube320_t0037,32,1,0,B,27000.0,7080.829648211829,6605.025726175416,5308.229555316747
cube320_t0037,32,1,0,HS,2338.0,2461.0431950432576,2661.7836551183723,2308.604995065491
cube320_t0037,32,1,0,HL,662.0,566.6624017517571,628.8386431862243,506.86315760147755
cube320_t0037,32,2,0,B,27000.0,7080.829648211829,6605.025726175416,5308.229555316747
cube320_t0037,32,2,0,HS,2338.0,2461.0431950432576,2661.7836551183723,2308.604995065491
cube320_t0037,32,2,0,HL,662.0,566.6624017517571,628.8386431862243,506.86315760147755
cube320_t0037,32,4,0,B,27000.0,7080.829648211829,6605.025726175416,5308.229555316747
cube320_t0037,32,4,0,HS,2338.0,2461.0431950432576,2661.7836551183723,2308.604995065491
cube320_t0037,32,4,0,HL,662.0,566.6624017517571,628.8386431862243,506.86315760147755
cube320_t0037,32,1,1,B,27000.0,7053.932885417624,6391.74843432803,5191.020439244521
cube320_t0037,32,1,1,HS,2426.0,2603.3969041338287,2710.749884216673,2406.0156177007193
cube320_t0037,32,1,1,HL,574.0,474.8286130525737,577.3741156731728,459.024159670869
cube320_t0037,32,2,1,B,27000.0,7053.932885417624,6391.74843432803,5191.020439244521
cube320_t0037,32,2,1,HS,2426.0,2603.3969041338287,2710.749884216673,2406.0156177007193
cube320_t0037,32,2,1,HL,574.0,474.8286130525737,577.3741156731728,459.024159670869
cube320_t0037,32,1,2,B,27000.0,6971.999617629482,6495.207421439084,5233.180183995848
cube320_t0037,32,1,2,HS,2360.0,2435.0706768200616,2597.1264768943324,2246.3314736352468
cube320_t0037,32,1,2,HL,640.0,528.6865354210252,601.9496918352694,494.94593545124576
cube320_t0037,32,2,2,B,27000.0,6971.999617629482,6495.207421439084,5233.180183995848
cube320_t0037,32,2,2,HS,2360.0,2435.0706768200616,2597.1264768943324,2246.3314736352468
cube320_t0037,32,2,2,HL,640.0,528.6865354210252,601.9496918352694,494.94593545124576
cube320_t0037,32,1,3,B,27000.0,7143.574718327259,6682.228676217892,5382.481529767235
cube320_t0037,32,1,3,HS,2434.0,2625.7192455059776,2787.1579270153165,2445.207242310849
cube320_t0037,32,1,3,HL,566.0,491.18416017637213,563.5476893972624,455.26269861319474
cube320_t0037,48,1,0,B,27000.0,9088.128554555176,8311.323657088737,6841.021010500202
cube320_t0037,48,1,0,HS,2392.0,3125.580414552995,3165.2081811901544,2828.2977361025382
cube320_t0037,48,1,0,HL,608.0,646.4986552589822,728.4550327662251,592.8285792762318
cube320_t0037,48,2,0,B,27000.0,9088.128554555176,8311.323657088737,6841.021010500202
cube320_t0037,48,2,0,HS,2392.0,3125.580414552995,3165.2081811901544,2828.2977361025382
cube320_t0037,48,2,0,HL,608.0,646.4986552589822,728.4550327662251,592.8285792762318
cube320_t0037,48,4,0,B,27000.0,9088.128554555176,8311.323657088737,6841.021010500202
cube320_t0037,48,4,0,HS,2392.0,3125.580414552995,3165.2081811901544,2828.2977361025382
cube320_t0037,48,4,0,HL,608.0,646.4986552589822,728.4550327662251,592.8285792762318
cube320_t0037,48,1,1,B,27000.0,9200.134417719913,8204.9985927988,6827.769267415165
cube320_t0037,48,1,1,HS,2414.0,3181.836124544292,3182.05788992858,2860.6579581489214
cube320_t0037,48,1,1,HL,586.0,638.4104577430908,694.7460186390138,588.0913183753961
cube320_t0037,48,2,1,B,27000.0,9200.134417719913,8204.9985927988,6827.769267415165
cube320_t0037,48,2,1,HS,2414.0,3181.836124544292,3182.05788992858,2860.6579581489214
cube320_t0037,48,2,1,HL,586.0,638.4104577430908,694.7460186390138,588.0913183753961
cube320_t0037,48,1,2,B,27000.0,9408.180318443086,8331.498114057034,6967.640885697584
cube320_t0037,48,1,2,HS,2304.0,2993.830397569095,2991.2572181774476,2683.815610385908
cube320_t0037,48,1,2,HL,696.0,746.3882153468111,820.7490545477145,692.4688279502201
cube320_t0037,48,2,2,B,27000.0,9408.180318443086,8331.498114057034,6967.640885697584
cube320_t0037,48,2,2,HS,2304.0,2993.830397569095,2991.2572181774476,2683.815610385908
cube320_t0037,48,2,2,HL,696.0,746.3882153468111,820.7490545477145,692.4688279502201
cube320_t0037,48,1,3,B,27000.0,8978.45027665409,8299.062048519623,6801.590517242761
cube320_t0037,48,1,3,HS,2276.0,3032.296463857505,2964.2686218290064,2696.555595184369
cube320_t0037,48,1,3,HL,724.0,761.7518156186853,870.8925202695395,721.055107531443
cube320_t0037,64,1,0,B,27000.0,11243.617662124761,9406.107558167885,8157.860879161666
cube320_t0037,64,1,0,HS,2272.0,3344.6751563719304,3098.3528923299964,2906.416767988517
cube320_t0037,64,1,0,HL,728.0,883.5626426910396,925.1773928205437,810.4749346129084
cube320_t0037,64,2,0,B,27000.0,11243.617662124761,9406.107558167885,8157.860879161666
cube320_t0037,64,2,0,HS,2272.0,3344.6751563719304,3098.3528923299964,2906.416767988517
