label,time_label,t,x0,x1,y0,y1,z0,z1,velocity,magnetic,has_velocity,has_magnetic,complete
cube320_t0778,t2,780,321,640,321,640,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0780_x321-640_y321-640_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0780_x321-640_y321-640_z1-320.npy,False,False,False
cube320_t0778,t3,781,321,640,321,640,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0781_x321-640_y321-640_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0781_x321-640_y321-640_z1-320.npy,False,False,False
cube320_t0778,t4,782,321,640,321,640,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0782_x321-640_y321-640_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0782_x321-640_y321-640_z1-320.npy,False,False,False
cube320_t0825,t1,826,641,960,641,960,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0826_x641-960_y641-960_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0826_x641-960_y641-960_z1-320.npy,False,False,False
cube320_t0825,t2,827,641,960,641,960,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0827_x641-960_y641-960_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0827_x641-960_y641-960_z1-320.npy,False,False,False
cube320_t0825,t3,828,641,960,641,960,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0828_x641-960_y641-960_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0828_x641-960_y641-960_z1-320.npy,False,False,False
cube320_t0825,t4,829,641,960,641,960,1,320,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0829_x641-960_y641-960_z1-320.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0829_x641-960_y641-960_z1-320.npy,False,False,False
cube320_t0843,t1,844,641,960,1,320,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0844_x641-960_y1-320_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0844_x641-960_y1-320_z321-640.npy,False,False,False
cube320_t0843,t2,845,641,960,1,320,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0845_x641-960_y1-320_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0845_x641-960_y1-320_z321-640.npy,False,False,False
cube320_t0843,t3,846,641,960,1,320,321,640,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_velocity_t0846_x641-960_y1-320_z321-640.npy,/home/idies/workspace/Storage/elenceq/mhd_work/jhtdb_mhd1024/raw/mhd1024_magneticfield_t0846_x641-960_y1-320_z321-640.npy,False,False,False
